Type,Percent,Flat
Turnover,0.72,
Wages,0.7,
Profit before tax,,35
Match income,0.76,
TV and broadcasting,0.765,
Retail,,
Commercial,0.816,
Property development,0,
Player trading,,
Net debt,1,
Interest payable,1,
Highest paid director,0.7,
Events,0,
Other,1,
