Name,Value,Team
Axel Tuanzebe,8800000.0,Manchester United
Phil Jones,7700000.0,Manchester United
Luke Shaw,19250000.0,Manchester United
Brandon Williams,12100000.0,Manchester United
Cameron Borthwick-Jackson,880000.0,Manchester United
Aaron Wan-Bissaka,35200000.0,Manchester United
Diogo Dalot,19800000.0,Manchester United
Timothy Fosu-Mensah,6930000.0,Manchester United
Nemanja Matic,17600000.0,Manchester United
Paul Pogba,88000000.0,Manchester United
Scott McTominay,24750000.0,Manchester United
Fred,19250000.0,Manchester United
Bruno Fernandes,52800000.0,Manchester United
Andreas Pereira,17600000.0,Manchester United
Juan Mata,10450000.0,Manchester United
Marcus Rashford,70400000.0,Manchester United
Daniel James,24750000.0,Manchester United
Jesse Lingard,19250000.0,Manchester United
Tahith Chong,6930000.0,Manchester United
Anthony Martial,52800000.0,Manchester United
Mason Greenwood,31900000.0,Manchester United
Odion Ighalo,5720000.0,Manchester United
Name,Value,Team
Bernd Leno,30800000.0,Arsenal FC
Emiliano Martínez,3080000.0,Arsenal FC
Matt Macey,275000.0,Arsenal FC
Sokratis,15950000.0,Arsenal FC
Shkodran Mustafi,13200000.0,Arsenal FC
David Luiz,13200000.0,Arsenal FC
Rob Holding,10450000.0,Arsenal FC
Pablo Marí,5280000.0,Arsenal FC
Kieran Tierney,22000000.0,Arsenal FC
Sead Kolasinac,17600000.0,Arsenal FC
Héctor Bellerín,35200000.0,Arsenal FC
Ainsley Maitland-Niles,15950000.0,Arsenal FC
Calum Chambers,15950000.0,Arsenal FC
Lucas Torreira,39600000.0,Arsenal FC
Granit Xhaka,26400000.0,Arsenal FC
Mattéo Guendouzi,44550000.0,Arsenal FC
Dani Ceballos,35200000.0,Arsenal FC
Joe Willock,17600000.0,Arsenal FC
Mesut Özil,19250000.0,Arsenal FC
Bukayo Saka,22000000.0,Arsenal FC
Nicolas Pépé,57200000.0,Arsenal FC
Reiss Nelson,13750000.0,Arsenal FC
Pierre-Emerick Aubameyang,61600000.0,Arsenal FC
Alexandre Lacazette,52800000.0,Arsenal FC
Gabriel Martinelli,27500000.0,Arsenal FC
Eddie Nketiah,12100000.0,Arsenal FC
Jordan Pickford,30800000.0,Everton FC
Jonas Lössl,3520000.0,Everton FC
Maarten Stekelenburg,605000.0,Everton FC
Michael Keane,22000000.0,Everton FC
Yerry Mina,22000000.0,Everton FC
Mason Holgate,14850000.0,Everton FC
Matthew Pennington,880000.0,Everton FC
Lucas Digne,30800000.0,Everton FC
Leighton Baines,1760000.0,Everton FC
Luke Garbutt,660000.0,Everton FC
Djibril Sidibé,10450000.0,Everton FC
Seamus Coleman,10450000.0,Everton FC
Cuco Martina,1320000.0,Everton FC
Jean-Philippe Gbamin,24750000.0,Everton FC
Morgan Schneiderlin,10450000.0,Everton FC
Muhamed Besic,2640000.0,Everton FC
André Gomes,24750000.0,Everton FC
Tom Davies,17600000.0,Everton FC
Fabian Delph,13200000.0,Everton FC
Beni Baningime,1430000.0,Everton FC
Gylfi Sigurdsson,24750000.0,Everton FC
Kieran Dowell,2200000.0,Everton FC
Alex Iwobi,28050000.0,Everton FC
Bernard,17600000.0,Everton FC
Theo Walcott,13200000.0,Everton FC
Richarlison,57200000.0,Everton FC
Moise Kean,27500000.0,Everton FC
Dominic Calvert-Lewin,26400000.0,Everton FC
Cenk Tosun,13200000.0,Everton FC
Oumar Niasse,3520000.0,Everton FC
Kasper Schmeichel,10450000.0,Leicester City
Danny Ward,7150000.0,Leicester City
Eldin Jakupovic,660000.0,Leicester City
Caglar Söyüncü,35200000.0,Leicester City
Jonny Evans,13200000.0,Leicester City
Filip Benkovic,7700000.0,Leicester City
Wes Morgan,1320000.0,Leicester City
Ben Chilwell,44000000.0,Leicester City
Christian Fuchs,1760000.0,Leicester City
Ricardo Pereira,35200000.0,Leicester City
James Justin,3960000.0,Leicester City
Wilfred Ndidi,39600000.0,Leicester City
Hamza Choudhury,8800000.0,Leicester City
Daniel Amartey,6050000.0,Leicester City
Nampalys Mendy,6050000.0,Leicester City
Youri Tielemans,48400000.0,Leicester City
Dennis Praet,20900000.0,Leicester City
Andy King,1320000.0,Leicester City
Matty James,1320000.0,Leicester City
Marc Albrighton,8800000.0,Leicester City
Harvey Barnes,19250000.0,Leicester City
James Maddison,52800000.0,Leicester City
Bartosz Kapustka,1320000.0,Leicester City
George Thomas,275000.0,Leicester City
Demarai Gray,15950000.0,Leicester City
Ayoze Pérez,26400000.0,Leicester City
Jamie Vardy,17600000.0,Leicester City
Kelechi Iheanacho,13200000.0,Leicester City
Rui Patrício,17600000.0,Wolverhampton Wanderers
John Ruddy,2200000.0,Wolverhampton Wanderers
Will Norris,275000.0,Wolverhampton Wanderers
Willy Boly,15950000.0,Wolverhampton Wanderers
Conor Coady,15950000.0,Wolverhampton Wanderers
Ryan Bennett,4400000.0,Wolverhampton Wanderers
Romain Saïss,4400000.0,Wolverhampton Wanderers
Max Kilman,880000.0,Wolverhampton Wanderers
Jonny Otto,17600000.0,Wolverhampton Wanderers
Rúben Vinagre,9900000.0,Wolverhampton Wanderers
Matt Doherty,17600000.0,Wolverhampton Wanderers
Luke Matheson,990000.0,Wolverhampton Wanderers
Phil Ofosu-Ayeh,330000.0,Wolverhampton Wanderers
Rúben Neves,44000000.0,Wolverhampton Wanderers
Leander Dendoncker,24750000.0,Wolverhampton Wanderers
João Moutinho,8800000.0,Wolverhampton Wanderers
Morgan Gibbs-White,7920000.0,Wolverhampton Wanderers
Bruno Jordão,2530000.0,Wolverhampton Wanderers
Connor Ronan,495000.0,Wolverhampton Wanderers
Ming-Yang Yang,275000.0,Wolverhampton Wanderers
Diogo Jota,30800000.0,Wolverhampton Wanderers
Daniel Podence,13200000.0,Wolverhampton Wanderers
Jordan Graham,275000.0,Wolverhampton Wanderers
Adama Traoré,28050000.0,Wolverhampton Wanderers
Pedro Neto,12650000.0,Wolverhampton Wanderers
Raúl Jiménez,44000000.0,Wolverhampton Wanderers
Leonardo Campana,1980000.0,Wolverhampton Wanderers
Name,Value,Team
Aaron Ramsdale,13750000.0,AFC Bournemouth
Artur Boruc,440000.0,AFC Bournemouth
Mark Travers,275000.0,AFC Bournemouth
Nathan Aké,30800000.0,AFC Bournemouth
Steve Cook,10450000.0,AFC Bournemouth
Chris Mepham,8800000.0,AFC Bournemouth
Jack Simpson,1320000.0,AFC Bournemouth
Diego Rico,8800000.0,AFC Bournemouth
Lloyd Kelly,8800000.0,AFC Bournemouth
Charlie Daniels,1760000.0,AFC Bournemouth
Brad Smith,880000.0,AFC Bournemouth
Adam Smith,7700000.0,AFC Bournemouth
Jack Stacey,3520000.0,AFC Bournemouth
Simon Francis,880000.0,AFC Bournemouth
Jefferson Lerma,22000000.0,AFC Bournemouth
Lewis Cook,17600000.0,AFC Bournemouth
Philip Billing,15950000.0,AFC Bournemouth
Harry Arter,3850000.0,AFC Bournemouth
Dan Gosling,2200000.0,AFC Bournemouth
Andrew Surman,1760000.0,AFC Bournemouth
Nnamdi Ofoborh,165000.0,AFC Bournemouth
Matt Butcher,83000.0,AFC Bournemouth
Kyle Taylor,0,AFC Bournemouth
David Brooks,26400000.0,AFC Bournemouth
Ryan Fraser,19250000.0,AFC Bournemouth
