Name,Position,Market Value,Actual Fee,New Team,Old Team
Yohan Benalouane,CB,1100000.0,0,Nottm Forest,Leicester City
Leonardo Ulloa,CF,5500000.0,0,CF Pachuca,Leicester City
Robert Huth,CB,2750000.0,0,Retired,Leicester City
Miguel Almirón,AM,16500000.0,26400000.0,Newcastle United,Atlanta United
Yoshinori Muto,CF,6600000.0,11770000.0,Newcastle United,1.FSV Mainz 05
Mikel Merino,CM,11000000.0,7700000.0,Newcastle United,Bor. Dortmund
Federico Fernández,CB,8800000.0,7370000.0,Newcastle United,Swansea
Martin Dubravka,GK,4400000.0,4400000.0,Newcastle United,Sparta Praha
Fabian Schär,CB,3300000.0,4400000.0,Newcastle United,Dep. La Coruña
Sung-yueng Ki,DM,7700000.0,0,Newcastle United,Swansea
Sean Longstaff,CM,165000.0,0,Newcastle United,Newcastle U23
Aleksandar Mitrovic,CF,16500000.0,27170000.0,Fulham,Newcastle United
Mikel Merino,CM,11000000.0,13200000.0,Real Sociedad,Newcastle United
Chancel Mbemba,CB,6600000.0,5130000.0,FC Porto,Newcastle United
Matz Sels,GK,4950000.0,4400000.0,R. Strasbourg,Newcastle United
Adam Armstrong,CF,1650000.0,2089999.9999999998,Blackburn,Newcastle United
Ivan Toney,CF,550000.0,792000.0,Peterborough,Newcastle United
Massadio Haidara,LB,1650000.0,0,Lens,Newcastle United
Stuart Findlay,CB,275000.0,0,Kilmarnock FC,Newcastle United
Jesús Gámez,RB,2200000.0,0,Retired,Newcastle United
Curtis Good,CB,275000.0,0,Without Club,Newcastle United
Cheikhou Kouyaté,DM,13200000.0,11770000.0,Crystal Palace,West Ham
Bakary Sako,LW,5500000.0,0,Crystal Palace,West Brom
Max Meyer,AM,19800000.0,0,Crystal Palace,FC Schalke 04
Vicente Guaita,GK,5500000.0,0,Crystal Palace,Getafe
Sullay Kaikai,LW,550000.0,0,NAC Breda,Crystal Palace
Jonathan Williams,AM,1100000.0,0,Charlton,Crystal Palace
Damien Delaney,CB,1100000.0,0,Cork City,Crystal Palace
Yohan Cabaye,CM,11000000.0,0,Al-Nasr,Crystal Palace
Jordon Mutch,CM,1100000.0,0,Gyeongnam FC,Crystal Palace
Diego Cavalieri,GK,1100000.0,0,Without Club,Crystal Palace
Bakary Sako,LW,5500000.0,0,Without Club,Crystal Palace
Chung-yong Lee,RW,1650000.0,0,Without Club,Crystal Palace
Jefferson Lerma,DM,2200000.0,30800000.0,AFC Bournemouth,Levante
Dominic Solanke,CF,11000000.0,23320000.0,AFC Bournemouth,Liverpool
Diego Rico,LB,2750000.0,16500000.0,AFC Bournemouth,CD Leganés
Chris Mepham,CB,8800000.0,14960000.0,AFC Bournemouth,Brentford
David Brooks,AM,5500000.0,12430000.0,AFC Bournemouth,Sheffield Utd.
Sam Surridge,CF,0,0,AFC Bournemouth,Bournemouth U21
Kyle Taylor,CM,0,0,AFC Bournemouth,Bournemouth U21
Mark Travers,GK,0,0,AFC Bournemouth,Bournemouth U21
Benik Afobe,CF,11000000.0,12540000.0,Wolves,AFC Bournemouth
Lewis Grabban,CF,3300000.0,7480000.0,Nottm Forest,AFC Bournemouth
Max Gradel,LW,7700000.0,2200000.0,Toulouse,AFC Bournemouth
Baily Cargill,CB,275000.0,0,MK Dons,AFC Bournemouth
Ryan Allsop,GK,275000.0,0,Wycombe,AFC Bournemouth
Adam Federici,GK,825000.0,0,Stoke City,AFC Bournemouth
Rhoys Wiggins,LB,550000.0,0,Retired,AFC Bournemouth
Felipe Anderson,LW,33000000.0,41800000.0,West Ham United,Lazio
Issa Diop,CB,24200000.0,27500000.0,West Ham United,Toulouse
Andriy Yarmolenko,RW,25300000.0,22000000.0,West Ham United,Bor. Dortmund
Lukasz Fabianski,GK,5500000.0,8800000.0,West Ham United,Swansea
Lucas Pérez,CF,8250000.0,4840000.0,West Ham United,Arsenal
Fabián Balbuena,CB,5500000.0,4400000.0,West Ham United,Corinthians
Xande Silva,RW,220000.0,1650000.0,West Ham United,Vit. Guimarães
Jack Wilshere,CM,22000000.0,0,West Ham United,Arsenal
Carlos Sánchez,DM,1650000.0,0,West Ham United,Fiorentina
Ryan Fredericks,RB,4400000.0,0,West Ham United,Fulham
Samir Nasri,AM,6600000.0,0,West Ham United,Ban
Grady Diangana,RW,0,0,West Ham United,West Ham U23
Cheikhou Kouyaté,DM,13200000.0,11770000.0,Crystal Palace,West Ham United
Reece Burke,CB,1100000.0,1870000.0,Hull City,West Ham United
Domingos Quina,CM,0,1210000.0,Watford,West Ham United
