Club,Turnover,Wages,Profit before tax,Match income,TV and broadcasting,Retail,Commercial,Property development,Player trading,Net debt,Interest payable,Highest paid director,Events,Other
Arsenal,403,240,70,99,180,26,107,15,2,-15,,2.7,,
Bournemouth,135,102,-11,5,119,1,7,,,69,2,1.3,1,0.5
Brighton and Hove Albion,139,78,12,19,110,,9,,,223,0.8,1.4,,2
Burnley,139,82,45,6,122,3,9,,,-43,0.017,,,
Chelsea,448,246,30,74,204,,170,,,1250,,0.244,,
Crystal Palace,150,117,-36,11,121,,9,,,21,1,1.6,,9
Everton,189,145,13,16,130,,43,,,66,6,0.927,,
Leicester City,159,119,2,13,124,14,8,,,10,3,0.308,,
Liverpool,455,264,125,81,220,,154,,,155,8,1.3,,
Manchester City,500,260,10,57,212,,232,,,66,2,5.4,,
Manchester United,590,296,26,110,204,,276,,,254,24,4.152,,
Newcastle United,178,94,23,24,126,,28,,,144,0.1,0.3,,
Southampton,153,113,35,19,117,,15,,,20,0.636,2,,2
Stoke City,127,94,-30,8,101,,11,,,123,,0.711,3,4
Swansea City,128,91,-3,7,105,,16,,,15,2,0.655197,,
Tottenham Hotspur,381,148,139,71,148,,109,,,366,,3,,53
Watford,128,86,-32,8,109,,11,,,96,5,0.631,,1
West Bromwich Albion,125,92,-7,7,102,3,13,,,24,,0.219,,
West Ham United,175,107,18,25,119,8,24,,,35,4,0.898,,
