Name,Value,Team
Eddie Nketiah,0,Arsenal FC
Ederson,55000000.0,Manchester City
Joe Hart,11000000.0,Manchester City
Claudio Bravo,3850000.0,Manchester City
Angus Gunn,2200000.0,Manchester City
John Stones,55000000.0,Manchester City
Aymeric Laporte,55000000.0,Manchester City
Nicolás Otamendi,38500000.0,Manchester City
Eliaquim Mangala,16500000.0,Manchester City
Vincent Kompany,11000000.0,Manchester City
Tosin Adarabioyo,1100000.0,Manchester City
Benjamin Mendy,44000000.0,Manchester City
Oleksandr Zinchenko,7700000.0,Manchester City
Kyle Walker,55000000.0,Manchester City
Danilo,22000000.0,Manchester City
Demeaco Duhaney,0,Manchester City
Fernandinho,16500000.0,Manchester City
Ilkay Gündogan,44000000.0,Manchester City
Fabian Delph,16500000.0,Manchester City
Phil Foden,7700000.0,Manchester City
Yaya Touré,2750000.0,Manchester City
Tom Dele-Bashiru,0,Manchester City
Kevin De Bruyne,165000000.0,Manchester City
David Silva,33000000.0,Manchester City
Brahim Díaz,5500000.0,Manchester City
Raheem Sterling,99000000.0,Manchester City
Leroy Sané,99000000.0,Manchester City
Jack Harrison,3850000.0,Manchester City
Bernardo Silva,55000000.0,Manchester City
Patrick Roberts,8250000.0,Manchester City
Sergio Agüero,88000000.0,Manchester City
Gabriel Jesus,88000000.0,Manchester City
Lukas Nmecha,0,Manchester City
Name,Value,Team
Hugo Lloris,27500000.0,Tottenham Hotspur
Michel Vorm,2750000.0,Tottenham Hotspur
Paulo Gazzaniga,1100000.0,Tottenham Hotspur
Alfie Whiteman,0,Tottenham Hotspur
Toby Alderweireld,44000000.0,Tottenham Hotspur
Davinson Sánchez,44000000.0,Tottenham Hotspur
Jan Vertonghen,35200000.0,Tottenham Hotspur
Kevin Wimmer,11000000.0,Tottenham Hotspur
Juan Foyth,5500000.0,Tottenham Hotspur
Cameron Carter-Vickers,1100000.0,Tottenham Hotspur
Danny Rose,33000000.0,Tottenham Hotspur
Ben Davies,27500000.0,Tottenham Hotspur
Kieran Trippier,22000000.0,Tottenham Hotspur
Serge Aurier,22000000.0,Tottenham Hotspur
Kyle Walker-Peters,3300000.0,Tottenham Hotspur
Eric Dier,44000000.0,Tottenham Hotspur
Victor Wanyama,33000000.0,Tottenham Hotspur
Luke Amos,110000.0,Tottenham Hotspur
Moussa Sissoko,19800000.0,Tottenham Hotspur
Mousa Dembélé,19800000.0,Tottenham Hotspur
Harry Winks,16500000.0,Tottenham Hotspur
Josh Onomah,3300000.0,Tottenham Hotspur
Tashan Oakley-Boothe,0,Tottenham Hotspur
Anthony Georgiou,0,Tottenham Hotspur
Dele Alli,110000000.0,Tottenham Hotspur
Christian Eriksen,88000000.0,Tottenham Hotspur
Heung-min Son,55000000.0,Tottenham Hotspur
Georges-Kevin N'Koudou,7700000.0,Tottenham Hotspur
Lucas Moura,30800000.0,Tottenham Hotspur
Erik Lamela,22000000.0,Tottenham Hotspur
Harry Kane,165000000.0,Tottenham Hotspur
Vincent Janssen,9900000.0,Tottenham Hotspur
Fernando Llorente,7700000.0,Tottenham Hotspur
Kazaiah Sterling,0,Tottenham Hotspur
Loris Karius,13200000.0,Liverpool FC
Simon Mignolet,11000000.0,Liverpool FC
Danny Ward,2750000.0,Liverpool FC
Ádám Bogdán,1100000.0,Liverpool FC
Virgil van Dijk,55000000.0,Liverpool FC
Joel Matip,27500000.0,Liverpool FC
Joe Gomez,24200000.0,Liverpool FC
Dejan Lovren,22000000.0,Liverpool FC
Ragnar Klavan,3850000.0,Liverpool FC
Conor Masterson,0,Liverpool FC
Andrew Robertson,27500000.0,Liverpool FC
Alberto Moreno,11000000.0,Liverpool FC
Trent Alexander-Arnold,27500000.0,Liverpool FC
Nathaniel Clyne,22000000.0,Liverpool FC
Jon Flanagan,2750000.0,Liverpool FC
Connor Randall,550000.0,Liverpool FC
Emre Can,33000000.0,Liverpool FC
Alex Oxlade-Chamberlain,44000000.0,Liverpool FC
Georginio Wijnaldum,33000000.0,Liverpool FC
Jordan Henderson,27500000.0,Liverpool FC
James Milner,16500000.0,Liverpool FC
Marko Grujic,5500000.0,Liverpool FC
Curtis Jones,0,Liverpool FC
Philippe Coutinho,110000000.0,Liverpool FC
Adam Lallana,27500000.0,Liverpool FC
Ben Woodburn,5500000.0,Liverpool FC
Sadio Mané,77000000.0,Liverpool FC
Mohamed Salah,165000000.0,Liverpool FC
Lazar Markovic,8800000.0,Liverpool FC
Sheyi Ojo,2750000.0,Liverpool FC
Roberto Firmino,88000000.0,Liverpool FC
Daniel Sturridge,16500000.0,Liverpool FC
Divock Origi,11000000.0,Liverpool FC
Dominic Solanke,11000000.0,Liverpool FC
Danny Ings,8800000.0,Liverpool FC
Jordan Pickford,33000000.0,Everton FC
Joel Robles,3850000.0,Everton FC
Maarten Stekelenburg,1100000.0,Everton FC
Mateusz Hewelt,0,Everton FC
Michael Keane,22000000.0,Everton FC
Eliaquim Mangala,16500000.0,Everton FC
Ramiro Funes Mori,11000000.0,Everton FC
Mason Holgate,7700000.0,Everton FC
Ashley Williams,5500000.0,Everton FC
Phil Jagielka,1650000.0,Everton FC
Tyias Browning,1100000.0,Everton FC
Matthew Pennington,550000.0,Everton FC
Morgan Feeney,0,Everton FC
Michael Collins,0,Everton FC
Leighton Baines,8800000.0,Everton FC
Brendan Galloway,3300000.0,Everton FC
Luke Garbutt,1100000.0,Everton FC
Seamus Coleman,13200000.0,Everton FC
Jonjoe Kenny,5500000.0,Everton FC
Cuco Martina,2750000.0,Everton FC
Morgan Schneiderlin,22000000.0,Everton FC
Idrissa Gueye,22000000.0,Everton FC
Muhamed Besic,5500000.0,Everton FC
Gareth Barry,1100000.0,Everton FC
Alex Denny,0,Everton FC
Davy Klaassen,16500000.0,Everton FC
Tom Davies,16500000.0,Everton FC
James McCarthy,8800000.0,Everton FC
Beni Baningime,3300000.0,Everton FC
Harry Charsley,275000.0,Everton FC
Stephen Duke-McKenna,0,Everton FC
Gylfi Sigurdsson,33000000.0,Everton FC
Wayne Rooney,11000000.0,Everton FC
Nikola Vlasic,8800000.0,Everton FC
Anthony Gordon,0,Everton FC
Yannick Bolasie,19800000.0,Everton FC
Ademola Lookman,13200000.0,Everton FC
Nathan Broadhead,0,Everton FC
Theo Walcott,22000000.0,Everton FC
Kevin Mirallas,7700000.0,Everton FC
Aaron Lennon,5500000.0,Everton FC
Shani Tarashaj,2200000.0,Everton FC
Fraser Hornby,0,Everton FC
Cenk Tosun,25300000.0,Everton FC
