Name,Position,Market Value,Actual Fee,New Team,Old Team
Rodri,DM,88000000.0,77000000.0,Manchester City,Atlético Madrid
João Cancelo,RB,60500000.0,71500000.0,Manchester City,Juventus
Angeliño,LB,17600000.0,13200000.0,Manchester City,PSV Eindhoven
Pedro Porro,RB,11000000.0,13200000.0,Manchester City,Girona
Zack Steffen,GK,5500000.0,7500000.0,Manchester City,Columbus Crew
Ryotaro Meshino,AM,550000.0,1100000.0,Manchester City,Gamba Osaka
Eric García,CB,0,0,Manchester City,Man City U23
Danilo,RB,22000000.0,40700000.0,Juventus,Manchester City
Douglas Luiz,CM,2750000.0,18480000.0,Aston Villa,Manchester City
Fabian Delph,CM,16500000.0,10450000.0,Everton,Manchester City
Manu García,AM,5500000.0,4400000.0,Sporting Gijón,Manchester City
Pablo Marí,CB,880000.0,1870000.0,Flamengo,Manchester City
Vincent Kompany,CB,8800000.0,0,RSC Anderlecht,Manchester City
Anthony Cáceres,CM,385000.0,0,Sydney FC,Manchester City
Eliaquim Mangala,CB,11000000.0,0,Valencia,Manchester City
Luke Brattan,DM,550000.0,0,Sydney FC,Manchester City
Takumi Minamino,LW,13750000.0,9350000.0,Liverpool FC,RB Salzburg
Sepp van den Berg,CB,2200000.0,2089999.9999999998,Liverpool FC,PEC Zwolle
Adrián,GK,3850000.0,0,Liverpool FC,West Ham
Andy Lonergan,GK,275000.0,0,Liverpool FC,Middlesbrough
Caoimhin Kelleher,GK,0,0,Liverpool FC,Liverpool U23
Danny Ings,CF,16500000.0,24420000.0,Southampton,Liverpool FC
Ryan Kent,LW,1930000.0,7920000.0,Rangers,Liverpool FC
Simon Mignolet,GK,8800000.0,7700000.0,Club Brugge,Liverpool FC
Daniel Sturridge,CF,16500000.0,0,Trabzonspor,Liverpool FC
Alberto Moreno,LB,9900000.0,0,Villarreal,Liverpool FC
Ádám Bogdán,GK,550000.0,0,Without Club,Liverpool FC
Connor Randall,RB,550000.0,0,Without Club,Liverpool FC
Mateo Kovacic,CM,38500000.0,49500000.0,Chelsea FC,Real Madrid
Billy Gilmour,CM,3300000.0,0,Chelsea FC,Chelsea U23
Reece James,RB,7700000.0,0,Chelsea FC,Chelsea U23
Mason Mount,AM,13200000.0,0,Chelsea FC,Chelsea U23
Eden Hazard,LW,165000000.0,110000000.0,Real Madrid,Chelsea FC
Ola Aina,RB,11000000.0,10780000.0,Torino,Chelsea FC
Tomas Kalas,CB,4400000.0,9900000.0,Bristol City,Chelsea FC
David Luiz,CB,22000000.0,9570000.0,Arsenal,Chelsea FC
Michael Hector,CB,3300000.0,6490000.0,Fulham,Chelsea FC
Kenneth Omeruo,CB,5500000.0,5500000.0,CD Leganés,Chelsea FC
Todd Kane,RB,1100000.0,0,QPR,Chelsea FC
Eduardo,GK,825000.0,0,Braga,Chelsea FC
Gary Cahill,CB,8800000.0,0,Crystal Palace,Chelsea FC
Rob Green,GK,275000.0,0,Retired,Chelsea FC
Tanguy Ndombélé,CM,71500000.0,66000000.0,Tottenham Hotspur,Olympique Lyon
Steven Bergwijn,LW,38500000.0,33000000.0,Tottenham Hotspur,PSV Eindhoven
Ryan Sessegnon,LM,38500000.0,29700000.0,Tottenham Hotspur,Fulham
Jack Clarke,RW,6600000.0,12100000.0,Tottenham Hotspur,Leeds
Michel Vorm,GK,1100000.0,0,Tottenham Hotspur,Without Club
Alfie Whiteman,GK,0,0,Tottenham Hotspur,Tottenham U23
Japhet Tanganga,CB,880000.0,0,Tottenham Hotspur,Tottenham U23
Kieran Trippier,RB,38500000.0,24200000.0,Atlético Madrid,Tottenham Hotspur
Christian Eriksen,AM,99000000.0,22000000.0,Inter,Tottenham Hotspur
Vincent Janssen,CF,8800000.0,9900000.0,Monterrey,Tottenham Hotspur
Georges-Kevin N'Koudou,LW,5500000.0,4400000.0,Besiktas,Tottenham Hotspur
Josh Onomah,CM,3300000.0,0,Fulham,Tottenham Hotspur
