Name,Position,Market Value,Actual Fee,New Team,Old Team
Victor Wanyama,DM,13200000.0,0,Montreal Impact,Tottenham Hotspur
Fernando Llorente,CF,3850000.0,0,SSC Napoli,Tottenham Hotspur
Michel Vorm,GK,1100000.0,0,Without Club,Tottenham Hotspur
Nicolas Pépé,RW,71500000.0,88000000.0,Arsenal FC,LOSC Lille
William Saliba,CB,13200000.0,33000000.0,Arsenal FC,Saint-Étienne
Kieran Tierney,LB,13750000.0,29700000.0,Arsenal FC,Celtic
David Luiz,CB,22000000.0,9570000.0,Arsenal FC,Chelsea
Gabriel Martinelli,CF,0,7370000.0,Arsenal FC,Ituano
Joe Willock,CM,0,0,Arsenal FC,Arsenal U23
Reiss Nelson,RW,18700000.0,0,Arsenal FC,Arsenal U23
Bukayo Saka,LW,0,0,Arsenal FC,Arsenal U23
Alex Iwobi,LW,27500000.0,33439999.999999996,Everton,Arsenal FC
Krystian Bielik,DM,2200000.0,9020000.0,Derby,Arsenal FC
Laurent Koscielny,CB,8800000.0,5500000.0,G. Bordeaux,Arsenal FC
David Ospina,GK,4400000.0,3850000.0,SSC Napoli,Arsenal FC
Carl Jenkinson,RB,2200000.0,2420000.0,Nottm Forest,Arsenal FC
Takuma Asano,LW,1650000.0,1100000.0,Partizan,Arsenal FC
Nacho Monreal,LB,8800000.0,275000.0,Real Sociedad,Arsenal FC
Danny Welbeck,CF,13200000.0,0,Watford,Arsenal FC
Aaron Ramsey,CM,44000000.0,0,Juventus,Arsenal FC
Cohen Bramall,LB,275000.0,0,Colchester Utd.,Arsenal FC
Stephan Lichtsteiner,RB,1650000.0,0,FC Augsburg,Arsenal FC
Petr Cech,GK,2750000.0,0,Retired,Arsenal FC
Harry Maguire,CB,55000000.0,95700000.0,Manchester United,Leicester
Bruno Fernandes,AM,66000000.0,60500000.0,Manchester United,Sporting CP
Aaron Wan-Bissaka,RB,38500000.0,60500000.0,Manchester United,Crystal Palace
Daniel James,LW,13200000.0,18700000.0,Manchester United,Swansea
Brandon Williams,LB,0,0,Manchester United,Man Utd U18
Tahith Chong,RW,0,0,Manchester United,Man Utd U23
Mason Greenwood,CF,0,0,Manchester United,Man Utd U18
Romelu Lukaku,CF,82500000.0,71500000.0,Inter,Manchester United
Matteo Darmian,RB,11000000.0,2730000.0,Parma,Manchester United
Ashley Young,LM,4400000.0,1650000.0,Inter,Manchester United
Ander Herrera,CM,27500000.0,0,Paris SG,Manchester United
James Wilson,CF,1650000.0,0,Aberdeen FC,Manchester United
Antonio Valencia,RB,5500000.0,0,LDU Quito,Manchester United
Raúl Jiménez,CF,38500000.0,41800000.0,Wolverhampton Wanderers,Benfica
Daniel Podence,LW,6600000.0,21560000.0,Wolverhampton Wanderers,Olympiacos
Patrick Cutrone,CF,30800000.0,19800000.0,Wolverhampton Wanderers,AC Milan
Pedro Neto,SS,2750000.0,19690000.0,Wolverhampton Wanderers,Lazio
Leander Dendoncker,DM,19800000.0,14850000.0,Wolverhampton Wanderers,RSC Anderlecht
Bruno Jordão,CM,1100000.0,9790000.0,Wolverhampton Wanderers,Lazio
Luke Matheson,RB,0,1210000.0,Wolverhampton Wanderers,Rochdale
Renat Dadashov,CF,248000.0,550000.0,Wolverhampton Wanderers,Estoril
Leonardo Campana,CF,2200000.0,0,Wolverhampton Wanderers,Barcelona SC
Ivan Cavaleiro,RW,11000000.0,12980000.0,Fulham,Wolverhampton Wanderers
Kortney Hause,CB,1100000.0,3740000.0,Aston Villa,Wolverhampton Wanderers
Ethan Ebanks-Landell,CB,275000.0,0,Shrewsbury,Wolverhampton Wanderers
Jack Ruddy,GK,110000.0,0,Ross County,Wolverhampton Wanderers
Sylvain Deslandes,CB,110000.0,0,SCM FC Arges,Wolverhampton Wanderers
Michal Zyro,RW,275000.0,0,Korona Kielce,Wolverhampton Wanderers
Bright Enobakhare,CF,495000.0,0,Without Club,Wolverhampton Wanderers
Harry Burgoyne,GK,0,0,Without Club,Wolverhampton Wanderers
Alex Iwobi,LW,27500000.0,33439999.999999996,Everton FC,Arsenal
Moise Kean,CF,44000000.0,30250000.0,Everton FC,Juventus
Jean-Philippe Gbamin,DM,30800000.0,27500000.0,Everton FC,1.FSV Mainz 05
André Gomes,CM,30800000.0,27500000.0,Everton FC,FC Barcelona
Fabian Delph,CM,16500000.0,10450000.0,Everton FC,Man City
Jonas Lössl,GK,5500000.0,0,Everton FC,Huddersfield
Idrissa Gueye,DM,27500000.0,33000000.0,Paris SG,Everton FC
Ademola Lookman,LW,22000000.0,19800000.0,RB Leipzig,Everton FC
Nikola Vlasic,AM,22000000.0,17270000.0,CSKA Moscow,Everton FC
Henry Onyekuru,LW,14300000.0,14850000.0,Monaco,Everton FC
James McCarthy,CM,5500000.0,3630000.0,Crystal Palace,Everton FC
Phil Jagielka,CB,1100000.0,0,Sheffield Utd.,Everton FC
Brendan Galloway,LB,1650000.0,0,Luton,Everton FC
Kevin Mirallas,RW,5500000.0,0,Royal Antwerp,Everton FC
Mateusz Hewelt,GK,0,0,Miedz Legnica,Everton FC
Ashley Williams,CB,2200000.0,0,Without Club,Everton FC
Youri Tielemans,CM,41800000.0,49500000.0,Leicester City,Monaco
Ayoze Pérez,SS,22000000.0,36740000.0,Leicester City,Newcastle
Dennis Praet,CM,26400000.0,21120000.0,Leicester City,Sampdoria
James Justin,RB,0,7370000.0,Leicester City,Luton
Callum Hulme,Midfielder,0,0,Leicester City,Bury
Harry Maguire,CB,55000000.0,95700000.0,Man Utd,Leicester City
Callum Elder,LB,275000.0,1650000.0,Hull City,Leicester City
Shinji Okazaki,CF,4400000.0,0,Málaga CF,Leicester City
Danny Simpson,RB,3850000.0,0,Without Club,Leicester City
Sébastien Haller,CF,44000000.0,44000000.0,West Ham United,E. Frankfurt
Pablo Fornals,AM,27500000.0,30800000.0,West Ham United,Villarreal
Jarrod Bowen,RW,11000000.0,23430000.0,West Ham United,Hull City
Albian Ajeti,CF,7700000.0,9570000.0,West Ham United,FC Basel
Darren Randolph,GK,4950000.0,5170000.0,West Ham United,Middlesbrough
Gonçalo Cardoso,CB,2750000.0,3300000.0,West Ham United,Boavista
David Martin,GK,275000.0,0,West Ham United,Millwall
Roberto,GK,1650000.0,0,West Ham United,Espanyol
Marko Arnautovic,CF,38500000.0,27500000.0,SH SIPG,West Ham United
Chicharito,CF,13200000.0,8530000.0,Sevilla FC,West Ham United
Edimilson Fernandes,CM,8800000.0,8250000.0,1.FSV Mainz 05,West Ham United
Pedro Obiang,CM,7700000.0,7700000.0,Sassuolo,West Ham United
Lucas Pérez,CF,4400000.0,2530000.0,Alavés,West Ham United
Reece Oxford,CB,4400000.0,2200000.0,FC Augsburg,West Ham United
Sam Byram,RB,3850000.0,913000.0,Norwich,West Ham United
Andy Carroll,CF,8800000.0,0,Newcastle,West Ham United
Moses Makasi,CM,0,0,FC Eindhoven,West Ham United
Samir Nasri,AM,5500000.0,0,RSC Anderlecht,West Ham United
Adrián,GK,3850000.0,0,Liverpool,West Ham United
Ismaïla Sarr,RW,33000000.0,33000000.0,Watford FC,Stade Rennais
Ignacio Pussetto,RW,8800000.0,8800000.0,Watford FC,Udinese Calcio
Craig Dawson,CB,6600000.0,6600000.0,Watford FC,West Brom
João Pedro,CF,22000000.0,4400000.0,Watford FC,Fluminense
Tom Dele-Bashiru,CM,165000.0,0,Watford FC,Man City U23
Danny Welbeck,CF,13200000.0,0,Watford FC,Arsenal
Kaylen Hinds,SS,550000.0,0,Watford FC,Without Club
Callum Whelan,DM,0,0,Watford FC,Watford U23
Dodi Lukebakio,RW,19800000.0,22000000.0,Hertha BSC,Watford FC
Obbi Oulare,CF,1980000.0,3740000.0,Standard Liège,Watford FC
Marvin Zeegelaar,LB,1650000.0,2200000.0,Udinese Calcio,Watford FC
Stefano Okaka,CF,5500000.0,0,Udinese Calcio,Watford FC
Miguel Britos,CB,2200000.0,0,Retired,Watford FC
Sebastian Prödl,CB,1650000.0,0,Without Club,Watford FC
Tommie Hoban,CB,550000.0,0,Without Club,Watford FC
James McCarthy,CM,5500000.0,3630000.0,Crystal Palace,Everton
Jordan Ayew,CF,8800000.0,3080000.0,Crystal Palace,Swansea
Scott Banks,LM,275000.0,330000.0,Crystal Palace,Dundee United Reserves
Gary Cahill,CB,8800000.0,0,Crystal Palace,Chelsea
Stephen Henderson,GK,550000.0,0,Crystal Palace,Nottm Forest
Aaron Wan-Bissaka,RB,38500000.0,60500000.0,Man Utd,Crystal Palace
Pape Souaré,LB,2200000.0,0,Troyes,Crystal Palace
Jason Puncheon,AM,3300000.0,0,Pafos FC,Crystal Palace
Julián Speroni,GK,275000.0,0,Retired,Crystal Palace
Bakary Sako,LW,4400000.0,0,Without Club,Crystal Palace
Joelinton,CF,38500000.0,48400000.0,Newcastle United,TSG Hoffenheim
Allan Saint-Maximin,LW,27500000.0,19800000.0,Newcastle United,OGC Nice
Emil Krafth,RB,2750000.0,5940000.0,Newcastle United,SC Amiens
Kyle Scott,CM,55000.0,0,Newcastle United,Chelsea U23
Jake Turner,GK,110000.0,0,Newcastle United,Bolton
Andy Carroll,CF,8800000.0,0,Newcastle United,West Ham
Matthew Longstaff,DM,0,0,Newcastle United,Newcastle U23
Ayoze Pérez,SS,22000000.0,36740000.0,Leicester,Newcastle United
Joselu,CF,4400000.0,2460000.0,Alavés,Newcastle United
Sung-yueng Ki,DM,4950000.0,0,RCD Mallorca,Newcastle United
Mohamed Diamé,CM,5500000.0,0,Al Ahli,Newcastle United
Arnaut Danjuma,LW,13200000.0,19800000.0,AFC Bournemouth,Club Brugge
Philip Billing,CM,7700000.0,18150000.0,AFC Bournemouth,Huddersfield
Lloyd Kelly,LB,9900000.0,16280000.000000002,AFC Bournemouth,Bristol City
Jack Stacey,RB,0,4900000.0,AFC Bournemouth,Luton
Nnamdi Ofoborh,CM,165000.0,0,AFC Bournemouth,Bournemouth U21
Tyrone Mings,CB,5500000.0,24530000.0,Aston Villa,AFC Bournemouth
Lys Mousset,CF,3850000.0,12210000.0,Sheffield Utd.,AFC Bournemouth
Connor Mahoney,RW,825000.0,1210000.0,Millwall,AFC Bournemouth
Marc Pugh,LW,1650000.0,0,QPR,AFC Bournemouth
Emerson Hyndman,CM,1650000.0,0,Atlanta United,AFC Bournemouth
Josh Brownhill,CM,4950000.0,11000000.0,Burnley FC,Bristol City
Jay Rodríguez,CF,11000000.0,6110000.0,Burnley FC,West Brom
Bailey Peacock-Farrell,GK,1650000.0,3030000.0,Burnley FC,Leeds
Erik Pieters,LB,5500000.0,1210000.0,Burnley FC,Stoke City
Tom Heaton,GK,3300000.0,9680000.0,Aston Villa,Burnley FC
Nahki Wells,CF,4400000.0,5230000.0,Bristol City,Burnley FC
Steven Defour,CM,5500000.0,0,Royal Antwerp,Burnley FC
Anders Lindegaard,GK,550000.0,0,Helsingborg,Burnley FC
Stephen Ward,LB,2200000.0,0,Stoke City,Burnley FC
Ntumba Massanka,CF,0,0,Chorley FC,Burnley FC
Peter Crouch,CF,1100000.0,0,Retired,Burnley FC
Danny Ings,CF,16500000.0,24420000.0,Southampton FC,Liverpool
Che Adams,CF,7700000.0,18370000.0,Southampton FC,Birmingham
Moussa Djenepo,LW,13200000.0,17270000.0,Southampton FC,Standard Liège
Matt Targett,LB,7700000.0,17050000.0,Aston Villa,Southampton FC
Sam Gallagher,CF,3300000.0,6160000.0,Blackburn,Southampton FC
Charlie Austin,CF,8800000.0,4730000.0,West Brom,Southampton FC
Steven Davis,CM,2200000.0,0,Rangers,Southampton FC
Jordy Clasie,DM,6050000.0,0,AZ Alkmaar,Southampton FC
Neal Maupay,CF,13200000.0,24200000.0,Brighton & Hove Albion,Brentford
Adam Webster,CB,9900000.0,24040000.0,Brighton & Hove Albion,Bristol City
Leandro Trossard,LW,17600000.0,22000000.0,Brighton & Hove Albion,KRC Genk
Aaron Mooy,CM,13200000.0,6600000.0,Brighton & Hove Albion,Huddersfield
Matt Clarke,CB,220000.0,4290000.0,Brighton & Hove Albion,Portsmouth
Tariq Lamptey,RB,0,3630000.0,Brighton & Hove Albion,Chelsea U23
Steven Alzate,AM,0,0,Brighton & Hove Albion,Brighton U23
Aaron Connolly,CF,0,0,Brighton & Hove Albion,Brighton U23
Ales Mateju,LB,1870000.0,1980000.0,Brescia,Brighton & Hove Albion
Markus Suttner,LB,1650000.0,0,F. Düsseldorf,Brighton & Hove Albion
Soufyan Ahannach,LM,495000.0,0,Go Ahead Eagles,Brighton & Hove Albion
Richie Towell,CM,220000.0,0,Salford,Brighton & Hove Albion
Tomer Hemed,CF,2750000.0,0,Charlton,Brighton & Hove Albion
Anders Dreyer,RW,660000.0,0,FC Midtjylland,Brighton & Hove Albion
Gaëtan Bong,LB,2200000.0,0,Nottm Forest,Brighton & Hove Albion
Bruno,RB,825000.0,0,Retired,Brighton & Hove Albion
Sam McCallum,LB,0,4570000.0,Norwich City,Coventry
Sam Byram,RB,3850000.0,913000.0,Norwich City,West Ham
Lukas Rupp,CM,3300000.0,550000.0,Norwich City,TSG Hoffenheim
Daniel Adshead,CM,0,369000.0,Norwich City,Rochdale
Josip Drmic,CF,3300000.0,0,Norwich City,Bor. M'gladbach
Rocky Bushiri,CB,1320000.0,0,Norwich City,KV Oostende
Melvin Sitti,DM,440000.0,0,Norwich City,FC Sochaux
Nélson Oliveira,CF,3850000.0,1100000.0,AEK Athens,Norwich City
Marcel Franke,CB,1100000.0,1100000.0,Hannover 96,Norwich City
Dennis Srbeny,CF,1100000.0,220000.0,SC Paderborn,Norwich City
Yanic Wildschut,LW,2200000.0,0,Maccabi Haifa,Norwich City
Steven Naismith,SS,1650000.0,0,Heart of Midl.,Norwich City
Ivo Pinto,RB,2200000.0,0,Dinamo Zagreb,Norwich City
James Husband,LB,1100000.0,0,Blackpool,Norwich City
Tristan Abrahams,CF,165000.0,0,Newport County,Norwich City
Ben Marshall,RM,1650000.0,0,Without Club,Norwich City
Matt Jarvis,LW,385000.0,0,Without Club,Norwich City
Sander Berge,DM,24200000.0,23650000.0,Sheffield United,KRC Genk
Oliver McBurnie,CF,8800000.0,21010000.0,Sheffield United,Swansea
Lys Mousset,CF,3850000.0,12210000.0,Sheffield United,Bournemouth
Callum Robinson,LW,4950000.0,8580000.0,Sheffield United,Preston NE
Luke Freeman,AM,3850000.0,6160000.0,Sheffield United,QPR
Ben Osborn,LM,3300000.0,4290000.0,Sheffield United,Nottm Forest
Michael Verrips,GK,1650000.0,0,Sheffield United,KV Mechelen
Phil Jagielka,CB,1100000.0,0,Sheffield United,Everton
Ravel Morrison,AM,330000.0,0,Sheffield United,Östersund
Jack Robinson,LB,2750000.0,0,Sheffield United,Nottm Forest
Jack Rodwell,DM,1650000.0,0,Sheffield United,Without Club
Richard Stearman,CB,1100000.0,220000.0,Huddersfield,Sheffield United
Ched Evans,CF,385000.0,165000.0,Fleetwood,Sheffield United
Martin Cranie,CB,385000.0,0,Luton,Sheffield United
Caolan Lavery,CF,165000.0,0,Walsall,Sheffield United
Paul Coutts,CM,385000.0,0,Fleetwood,Sheffield United
Jake Bennett,RB,0,0,Alfreton,Sheffield United
Conor Washington,CF,1100000.0,0,Heart of Midl.,Sheffield United
Danny Lafferty,LB,385000.0,0,Shamrock Rovers,Sheffield United
Samir Carruthers,CM,275000.0,0,Cambridge Utd.,Sheffield United
Jake Wright,CB,165000.0,0,Without Club,Sheffield United
Wesley,CF,22000000.0,27500000.0,Aston Villa,Club Brugge
Tyrone Mings,CB,5500000.0,24530000.0,Aston Villa,Bournemouth
Douglas Luiz,CM,2750000.0,18480000.0,Aston Villa,Man City
Matt Targett,LB,7700000.0,17050000.0,Aston Villa,Southampton
Ezri Konsa,CB,3850000.0,14630000.0,Aston Villa,Brentford
Marvelous Nakamba,DM,7150000.0,13200000.0,Aston Villa,Club Brugge
Mbwana Samatta,CF,13200000.0,11550000.0,Aston Villa,KRC Genk
Trezeguet,LW,6600000.0,11000000.0,Aston Villa,Kasimpasa
Anwar El Ghazi,RW,8250000.0,9900000.0,Aston Villa,LOSC Lille
Tom Heaton,GK,3300000.0,9680000.0,Aston Villa,Burnley
Björn Engels,CB,6600000.0,8800000.0,Aston Villa,Reims
Jota,RW,5500000.0,4950000.0,Aston Villa,Birmingham
Kortney Hause,CB,1100000.0,3740000.0,Aston Villa,Wolves
Borja Bastón,CF,4400000.0,0,Aston Villa,Swansea
Jonathan Kodjia,CF,4400000.0,3300000.0,Al Gharafa,Aston Villa
Aaron Tshibola,CM,1650000.0,1100000.0,Waasl.-Beveren,Aston Villa
Glenn Whelan,DM,1100000.0,0,Heart of Midl.,Aston Villa
Tommy Elphick,CB,2200000.0,0,Huddersfield,Aston Villa
Albert Adomah,RW,3850000.0,0,Nottm Forest,Aston Villa
Ritchie De Laet,RB,1430000.0,0,Royal Antwerp,Aston Villa
Gary Gardner,CM,2200000.0,0,Birmingham,Aston Villa
Alan Hutton,RB,1100000.0,0,Without Club,Aston Villa
Micah Richards,RB,550000.0,0,Retired,Aston Villa
Mark Bunn,GK,275000.0,0,Retired,Aston Villa
Birkir Bjarnason,CM,1650000.0,0,Without Club,Aston Villa
Mile Jedinak,DM,1650000.0,0,Retired,Aston Villa
Ross McCormack,SS,1650000.0,0,Without Club,Aston Villa
